2019-06-05 00:07:12,431 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:07:17,433 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:07:22,434 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:07:27,437 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:07:32,438 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:07:37,440 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:07:42,443 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:07:47,445 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:07:52,446 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:07:57,449 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:08:02,451 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:08:07,453 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:08:12,455 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:08:17,457 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:08:22,460 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:08:27,460 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:08:32,464 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

